Course,Level,Date,Time,Professor,Zoom Link
English Basics,A1,2025-05-01,09:00,John Smith,https://zoom.us/j/123456789
Intermediate English,B1,2025-05-01,14:00,John Smith,https://zoom.us/j/234567890
Advanced English,C1,2025-05-02,10:00,Sarah Johnson,https://zoom.us/j/345678901
Business English,B2,2025-05-02,16:00,Sarah Johnson,https://zoom.us/j/456789012
Conversational English,B1,2025-05-03,11:00,Michael Brown,https://zoom.us/j/567890123
English Grammar,A2,2025-05-04,09:00,Michael Brown,https://zoom.us/j/678901234
English Pronunciation,B1,2025-05-04,14:00,Emily Davis,https://zoom.us/j/789012345
English Literature,C2,2025-05-05,10:00,Emily Davis,https://zoom.us/j/890123456
English for Travel,A2,2025-05-05,16:00,Robert Wilson,https://zoom.us/j/901234567
English for Interviews,B2,2025-05-06,11:00,Robert Wilson,https://zoom.us/j/012345678
