Course Name,Level,Teacher Name,Day,Time,Duration (min),Telegram Group,Zoom Host Email
English Basics,A1,John Smith,Monday,09:00,60,@englishbasics,john.smith@example.com
Intermediate English,B1,Sarah Johnson,Tuesday,14:00,90,@intermediateenglish,sarah.johnson@example.com
Advanced English,C1,Michael Brown,Wednesday,10:00,60,@advancedenglish,michael.brown@example.com
Business English,B2,Emily Davis,Thursday,16:00,90,@businessenglish,emily.davis@example.com
Conversational English,B1,Robert Wilson,Friday,11:00,60,@conversationalenglish,robert.wilson@example.com
English Grammar,A2,John Smith,Monday,14:00,60,@englishgrammar,john.smith@example.com
English Pronunciation,B1,Sarah Johnson,Wednesday,16:00,60,@englishpronunciation,sarah.johnson@example.com
English Literature,C2,Michael Brown,Friday,09:00,90,@englishliterature,michael.brown@example.com
English for Travel,A2,Emily Davis,Tuesday,11:00,60,@englishtravel,emily.davis@example.com
English for Interviews,B2,Robert Wilson,Thursday,10:00,60,@englishinterviews,robert.wilson@example.com
